"","Year","Month","GEO","Value"
"295",2001," Jul","North.Central.Ontario"," 0%"
"296",2001," Aug","North.Central.Ontario"," 0%"
"297",2001," Sep","North.Central.Ontario"," 0%"
"298",2001," Oct","North.Central.Ontario"," 0%"
"299",2001," Nov","North.Central.Ontario"," 0%"
"300",2001," Dec","North.Central.Ontario"," 0%"
"301",2001," Jan","North.Eastern.Ontario"," 47%"
"302",2001," Feb","North.Eastern.Ontario"," 63.9%"
"303",2001," Mar","North.Eastern.Ontario"," 62.2%"
"304",2001," Apr","North.Eastern.Ontario"," 57.7%"
"305",2001," May","North.Eastern.Ontario"," 61%"
"306",2001," Jun","North.Eastern.Ontario"," 67%"
"307",2001," Jul","North.Eastern.Ontario"," 66.8%"
"308",2001," Aug","North.Eastern.Ontario"," 75.2%"
"309",2001," Sep","North.Eastern.Ontario"," 67.7%"
"310",2001," Oct","North.Eastern.Ontario"," 65.7%"
"311",2001," Nov","North.Eastern.Ontario"," 57.2%"
"312",2001," Dec","North.Eastern.Ontario"," 41.3%"
"313",2001," Jan","North.Western.Ontario"," 46.1%"
"314",2001," Feb","North.Western.Ontario"," 56.8%"
"315",2001," Mar","North.Western.Ontario"," 56.5%"
"316",2001," Apr","North.Western.Ontario"," 62.3%"
"317",2001," May","North.Western.Ontario"," 71.3%"
"318",2001," Jun","North.Western.Ontario"," 75%"
"319",2001," Jul","North.Western.Ontario"," 80.4%"
"320",2001," Aug","North.Western.Ontario"," 85.6%"
"321",2001," Sep","North.Western.Ontario"," 76.9%"
"322",2001," Oct","North.Western.Ontario"," 70.6%"
"323",2001," Nov","North.Western.Ontario"," 60.9%"
"324",2001," Dec","North.Western.Ontario"," 45.6%"
"325",2001," Jan","Other.Eastern.Ontario"," 39.3%"
"326",2001," Feb","Other.Eastern.Ontario"," 48%"
"327",2001," Mar","Other.Eastern.Ontario"," 47.8%"
"328",2001," Apr","Other.Eastern.Ontario"," 45.5%"
"329",2001," May","Other.Eastern.Ontario"," 54.5%"
"330",2001," Jun","Other.Eastern.Ontario"," 66.3%"
"331",2001," Jul","Other.Eastern.Ontario"," 70.6%"
"332",2001," Aug","Other.Eastern.Ontario"," 77%"
"333",2001," Sep","Other.Eastern.Ontario"," 66%"
"334",2001," Oct","Other.Eastern.Ontario"," 59.8%"
"335",2001," Nov","Other.Eastern.Ontario"," 49.4%"
"336",2001," Dec","Other.Eastern.Ontario"," 36.6%"
"337",2001," Jan","Other.Niagara.Region"," 36.5%"
"338",2001," Feb","Other.Niagara.Region"," 53.6%"
"339",2001," Mar","Other.Niagara.Region"," 51.3%"
"340",2001," Apr","Other.Niagara.Region"," 48.6%"
"341",2001," May","Other.Niagara.Region"," 51.2%"
"342",2001," Jun","Other.Niagara.Region"," 59.5%"
"343",2001," Jul","Other.Niagara.Region"," 68.9%"
"344",2001," Aug","Other.Niagara.Region"," 74.2%"
"345",2001," Sep","Other.Niagara.Region"," 63.2%"
"346",2001," Oct","Other.Niagara.Region"," 60.8%"
"347",2001," Nov","Other.Niagara.Region"," 56.1%"
"348",2001," Dec","Other.Niagara.Region"," 37.8%"
"349",2001," Jan","Other.Southern.Ontario"," 40.5%"
